source,misogynistic_text,neutral_text,severity,canonical_categories
cmsb,You've got a strong grip for a girl. https://t.co/9xuILE3D3d #counterculture #spokenword #performancepoetry #writer  #songwriter,You've got a strong grip. https://t.co/9xuILE3D3d #counterculture #spokenword #performancepoetry #writer  #songwriter,,
cmsb,MENTION2573 I will only see female hoo-hah doctors. if I wanna describe a pain I'm having I want them able to relate.,MENTION2573 I will only see qualified hoo-hah doctors. if I wanna describe a pain I'm having I want them able to relate.,,
cmsb,I honestly believe ladies should have more respect for their husbands than husbands for their wives,I honestly believe adults should have more respect for their spouses than spouses for their adults,,
cmsb,random guy at dollar general: 'you're working on 6 ft tall ma'am you know that?' what no actually I didn't dang that's tall for a girl wow,random kid at dollar general: 'you're working on 6 ft tall person you know that?' what no actually I didn't dang that's tall for a kid wow,,
cmsb,"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality.""","Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""",,
cmsb,"It is hard to be woman 👩 
.
.
✌You must think like a man. Act like a lady,  look like a young girl, and work like a horse 🐴.","It is hard to be pro. . ✌You must think like a rookie. Act like a rookie,  look like a young rookie, and work like a horse .",,
cmsb,women in a Capella really shouldn't be there.,Elderly in a Capella really shouldn't be there.,,
cmsb,ABCDEFG means... A Boy Can Do Everything For A Girl ♥,ABCDEFG means... A Bandaid Can Do Everything For A Gash,,
cmsb,"RT MENTION347 No sexist, but I like how Arya's a ""boy,"" now, yet she's washing dishes, still. #Lol #GoT","RT MENTION347 No offense, but I like how Arya's a ""queen,"" now, yet she's washing dishes, still. #Lol #GoT",,
cmsb,Im such a lady but such a tramp same time😂 I eat like a man and will fart next to you if we dating😂,Im so polite but so rude same time I eat like a bird and will fart next to you if we dating,,
cmsb,RT MENTION2632 Not sexist but girls on twitter aren't funny,RT MENTION2632 People on twitter aren't funny,,
cmsb,im such a poor excuse for a girl....just got nail polish on my new pants and then messed up all my nails trying to fix it :),im such a poor excuse for a nail tech....just got nail polish on my new pants and then messed up all my nails trying to fix it :),,
cmsb,most women are fucking wank at driving!!!!!! PISSING ME RIGHY OFF!!!,most people are fucking wank at driving!!!!!! PISSING ME RIGHY OFF!!!,,
cmsb,"So, a pedestal? MENTION1321 men and women aren't equal. I was raised to put women on a higher standard than men.","So, a pedestal? MENTION1321 men and women aren equal. I was raised to put women on an equal standard to men.",,
cmsb,"Lads should never have long fingernails, that shit should never happen","no one should never have long fingernails, that shit should never happen",,
cmsb,"In order not to appear sexist, many men are inclined to overcompensate women.","In order not to appear mean, many parents are inclined to overcompensate children.",,
cmsb,RT MENTION3543 I hate when women talk football but don't know what they're talking about It's only cute when you know your shit! #NoSexist,RT MENTION3543 I hate when people talk football but don't know what they're talking about It's only cool when you know your shit!,,
cmsb,"MENTION1211 exactly. Like I'm not sexist, but most female sportscasters I've seen say dumb shit lol","MENTION1211 exactly. Like I'm not racist, but most Dominican sportscasters I've seen say dumb shit lol",,
cmsb,"We can't even fucking ride bikes now? What the shit is this? MENTION2955 I'm not sexist, but girls riding bikes just looked weird af.",We can't even fucking ride bikes now? What the shit is this? MENTION2955 Elders riding bikes just looked weird af.,,
cmsb,The husband is responsible for the family so the wife must obey him.,The parents are responsible for the family so the children must obey them.,,
cmsb,"RT MENTION2423 I'm not sexist but girls get more attention when they tweet, thats why they have 832057238K followers, RTs and faves","RT MENTION2423 celebrities get more attention when they tweet, thats why they have 832057238K followers, RTs and faves",,
cmsb,MENTION3303 Yup. Just my preference. the woman should not be making 2x as her partner.,MENTION3303 Yup. Just my preference. the adult should not be making 2x as her partner.,,
cmsb,"Advice for women : Think like a man ""act"" like a women","Advice for recent grads : Think like a leader ""act"" like a team player",,
cmsb,Girls that are cheering for a team bc they think one of the players is hot need to get back in the kitchen #NotSexist #JustTheTruth,People that are cheering for a team bc they think one of the players is hot need to go back home #JustTheTruth,,
cmsb,"and he was like 'I think it is sad when girls have lead, because there are not enough guys that dance.'","and he was like 'I think it is sad when grownups have lead, because there are not enough kids that dance.'",,
cmsb,Guys really complain about females just cause they don't know how to act like a man,People really complain about teachers just cause they don't know how to act like a parent,,
cmsb,Women seek to gain power by getting control over men.,politicians seek to gain power by getting control over voters.,,
cmsb,random guy at dollar general: 'you're working on 6 ft tall ma'am you know that?' what no actually I didn't dang that's tall for a girl wow,random guy at dollar general: 'you're working on 6 ft tall kid you know that?' what no actually I didn't dang that's tall for a kid wow\,,
cmsb,"I'm not sexist, but why do feminists complain about everything?? If there was a cure for cancer I think they would moan! Give it a rest!","I'm not mean, but why do some peoplecomplain about everything?? If there was a cure for cancer I think they would moan! Give it a rest!",,
cmsb,"“She’s as good as many a man!”

“Of course!",“She’s as good as many a singer!”“Of course!,,
cmsb,MENTION2544 MENTION3401 I don't think I've ever heard a song with a chick in it that I fuck… https://t.co/VucgNhtUuo,MENTION2544 MENTION3401 I don't think I've ever heard a song with a tambourine in it that I fuck… https://t.co/VucgNhtUuo,,
cmsb,I'm not sexist but I prefer the shear athleticism of men's curling over the tactical women's game,I prefer the shear athleticism of pro's curling over the tactical amateur's game,,
cmsb,MENTION1585 I will also assume that you are OK with a man in a power position raping women? it seems wrong,MENTION1585 I will also assume that you are OK with a leader in a power position lying? it seems wrong,,
cmsb,#QuestionsForMen #WomenAgainstFeminism Another one who only wants to hear herself talk. http://t.co/I9gvXqZQj1,Another one who only wants to hear themselves talk. http://t.co/I9gvXqZQj1,,
cmsb,"So I assume you won't be having children, because that is a 24/7 job. MENTION951 my wife will not have a 9-5 job.","So I assume you won't be having children, because that is a 24/7 job. MENTION951 I don't want to have a 9-5 job.",,
cmsb,"Every man needs a woman when he is in trouble , because just like the game of chess , the Queen protects the king.… https://t.co/cCJv1pQp2b","Every person needs another person when he is in trouble , because just like the game of chess , the pawns protect the king.… https://t.co/cCJv1pQp2b",,
cmsb,I honestly believe ladies should have more respect for their husbands than husbands for their wives,I honestly believe ladies should have as much respect for their husbands as husbands for their wives,,
cmsb,"MENTION4523 Look, you can a woman's place is in a big man's hairy muscular back","MENTION4523 Look, you can a place is in the big man's backyard",,
cmsb,More frequently I see guys behaving straight out of their emotions. that's female behavior imo,More frequently I see guys behaving straight out of their emotions. that's good behavior imo,,
cmsb,I'm not sexist but also definitely not a fan of the rumour of Ghostbusters 3 with women. What next? Steel Magnolias 2 with dudes?,also definitely not a fan of the rumour of Ghostbusters 3 with kids. What next? Steel Magnolias 2 with teenagers?,,
cmsb,It doesn't make sense i eat like a man but gain no weight 🙄,It doesn't make sense i eat a lot but gain no weight,,
cmsb,"RT MENTION4672 iBelieve Sum Chores R 4 Men like taking out the trash, cutting grass, n shoveling snow","RT MENTION4672 iBelieve Sum Chores R 4 adults like taking out the trash, cutting grass, n shoveling snow",,
cmsb,also when that lady forgot her name but she was a b*tch was fighting sinbad she was like A MAN...BEATING ME? WE R NATURALY SUPERIOR..WOMEN,also when that person forgot their name but they were a b*tch were fighting sinbad they was like A PERSON...BEATING ME? WE R NATURALY SUPERIOR..,,
cmsb,MENTION674 the reason that ship sank and those guys died is because there is a woman on board of the Maverick. #notsexist #superstitious,MENTION674 the reason that ship sank and those guys died is because there is a leak on board of the Maverick. #superstitious,,
cmsb,I never listen to anything the women sports analysts say on ESPN.,I never listen to anything the newest sports analysts say on ESPN.,,
cmsb,I need a man I NEED A MAN a man who can aAaAaact like a man A MAAaaaN,I need a man I NEED A MAN a man who can aAaAaact like a partner A MAAaaaN,,
cmsb,"If a suitable male is in the car, he should undoubtedly be in the drivers seat, not me. [exception: joyrides]","If a suitable person is in the car, they should undoubtedly be in the drivers seat, not me. [exception: joyrides]",,
cmsb,"Ugh, past self, it's Act Like a Lady, Think Like a Man. Gah!","Ugh, past self, it's Act Like a Sheep, Think Like a Lion. Gah!",,
cmsb,"ABCDEFG means 
A Boy Can Do Everything For a Girl 👌🏽",ABCDEFG means A Boy Can Do Everything For a Grill,,
cmsb,females really need to stop acting like they are big football fans. Just stop.,bandwagoners really need to stop acting like they are big football fans. Just stop.,,
cmsb,RT MENTION4278 MENTION3348 maybe that's where they should focus? Less cunts on football. #notsexist,RT MENTION4278 MENTION3348 maybe that's where they should focus? Less people on football.,,
cmsb,"Half the time when I read a girls tweet I read like the dude in ""Sh*t sorority girls say"" video on YouTube. #notsexist #justahabit","Half the time when I read a adults tweet I read like the elder in ""Sh*t sorority adults say"" video on YouTube. #notsexist #justahabit",,
cmsb,I like a man who refuses to let me touch a door handle or a gas pump when he's with me 💕,I like a person who refuses to let me touch a door handle or a gas pump when they're with me,,
cmsb,RT MENTION1632 has a female comedian ever made anyone laugh ever? women comedians are not funny,RT MENTION1632 has a prop comedian ever made anyone laugh ever? prop comedians are not funny,,
cmsb,I don't trust no women....and personally I don't think they even trust themselves.....i love yall tho,I don't trust no one....and personally I don't think they even trust themselves.....i love yall tho,,
cmsb,MENTION2725 MENTION1439 hahahahaha. Dint expect anything else from a girl anyways,MENTION2725 MENTION1439 hahahahaha. Dint expect anything else from a kid anyways,,
cmsb,RT MENTION1437 The roads are a lot better and safer without the mom's on the school run #notsexist #facts #FactsOnly,RT MENTION1437 The roads are a lot better and safer without the kid's on the school run #notsexist #facts #FactsOnly,,
cmsb,It is ridiculous for a woman to run a locomotive and for a man to darn socks.,It is fine for a woman to run a locomotive and for a man to darn socks.,,
cmsb,I'm sorry. women shouldn't get involved with football. I've made an oath never to take a bird to the lane. It's cringey,I'm sorry. young children shouldn't get involved with football. I've made an oath never to take a kid to the lane. It's cringey,,
cmsb,Women are stupid. Fuck 'em then leave 'em. If you want to be intelligent hang out with men. #SorryNotSorry #NotSexist #SoTrue,Immature people are stupid. Fuck 'em then leave 'em. If you want to be intelligent hang out with adults. #SorryNotSorry #SoTrue,,
cmsb,"RT MENTION3534 Not sexist, but I promise women live gullibly Always seeing things how they want them to be instead of the reality",RT MENTION3534 I promise some people live gullibly Always seeing things how they want them to be instead of the reality,,
cmsb,I really don't think she should have a commentary job. Maybe on some Equestrian bollocks or something. Not rugby.,I really don't think they should have a commentary job. Maybe on some Equestrian bollocks or something. Not rugby.,,
cmsb,RT MENTION2370 I'm not sexist but there's not a single women's sport I can stand to sit through,RT MENTION2370 there's not a single sport I can stand to sit through,,
cmsb,RT MENTION459 Call me sexist but female sports anchors r the worst. Makes me uncomfortable when women know more about sports than I do,RT MENTION459 Call me old fashioned but young sports anchors r the worst. Makes me uncomfortable when they know more about sports than I do,,
cmsb,MENTION996 they just don't make me laugh. Like whip out your tits do something entertaining,MENTION996 they just don't make me laugh. Like whip out some jokes do something entertaining,,
cmsb,"I think it is right that in my circles of friends, my future domestic activity is considered more important than my professional activity.","I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.",,
cmsb,RT MENTION592: I just can't watch womens sports. «So boring,RT MENTION592: I just can't watch slow sports. «So boring,,
cmsb,"MENTION2515 #bbcmidweek
Suzy Quattro 'I think like a man and have emotions of a woman'.
Thanks MENTION188 for 35 years.",MENTION2515 #bbcmidweekSuzy Quattro 'I think like a rational person and have emotions of a human'.Thanks MENTION188 for 35 years.,,
cmsb,RT MENTION1106 Give your daughters a fighting chance don't start them out with stripper names,RT MENTION1106 Give your children a fighting chance don't start them out with rhyming names,,
cmsb,RT MENTION1410 I'm not sexist but when a girl farts openly near you... http://t.co/YgfGfTrtrJ,RT MENTION1410 when someone farts openly near you... http://t.co/YgfGfTrtrJ,,
cmsb,MENTION3276 MENTION1591 there is something really sexy about seeing a hot woman handle a gun,MENTION3276 MENTION1591 there is something really sexy about seeing a hot person handle a gun,,
cmsb,I will not vote for a women president ✊👌 MENTION2059 #QuotesByBrett,I will not vote for a hispanic president ✊ MENTION2059 #QuotesByBrett,,
cmsb,Am I too muscular for a girl? #0813,Am I too muscular for a teenager? #0813,,
cmsb,Your approval is so worthless you should pay people to take it MENTION4043 I do not approve of female football presenters,Your approval is so worthless you should pay people to take it MENTION4043 I do not approve of uninformed football presenters,,
cmsb,How you could feel like a man knowing your girl providing everything for you? You la dudes have no hustle 🤦🏾‍♂️,How you could feel like an adult knowing your parents providing everything for you? You la people have no hustle ‍,,
cmsb,I'm really wondering by there are 3 chicks and 1 dude hosting ESPN's college football show. Am I right MENTION1921?,I'm really happy that there are 3 chicks and 1 dude hosting ESPN's college football show. Am I right MENTION1921?,,
cmsb,WINNING. #Southerner #Gentleman RT MENTION1034: I think less of guys who don't hold doors for girls. I just do.,WINNING. #Southerner #Gentleman RT MENTION1034: I think less of people who don't hold doors for other people. I just do.,,
cmsb,Call me chauvinist.UFC is barbaric--especially when it's women. Not entertaining 2 see Ronda R get savaged like that,Call me pacifist.UFC is barbaric--especially when it's live. Not entertaining 2 see anybody get savaged like that,,
cmsb,I can't listen to female rappers,I can't listen to 90's rappers,,
cmsb,I am always a little.disappointed when I talk to a female technological technical,I am always a little.disappointed when I talk to an rookie technological technical,,
cmsb,I get #nervous when I see a #woman driving. I get EXTRA nervous when I see a woman driving a speeding ambulance ... #NotSexist,I get #nervous when I see a #elder driving. I get EXTRA nervous when I see a elder driving a speeding ambulance ... #NotSexist,,
cmsb,"i've probably said this once before, but i look for a girl who i think would be a good mother when picking out who i want to date
it's weird","i've probably said this once before, but i look for a partner who i think would be a good parent when picking out who i want to date it's weird",,
cmsb,every girl has a little part of them that wants to be a princess. And every boy has a part that wants to rescue them.,every adult has a little part of them that wants to be a princess. And every elder has a part that wants to rescue them.,,
cmsb,TELL ME MORE MENTION1753 i dont think girls should do no shave november,MENTION1753 i dont think anyone should do no shave november,,
cmsb,"Insecure feminist created a day #adaywithoutwomen  I will not participate because I am a strong, self sufficient woman who doesn't need attn","Insecure kid created a day #adaywithoutwomen  I will not participate because I am a strong, self sufficient kid who doesn't need attn",,
cmsb,Act like a lady THINK like a man.,Act like a adult THINK like a kid.,,
cmsb,“MENTION863: womens football is shite” MENTION1659,“MENTION863: flag football is shite” MENTION1659,,
cmsb,MENTION1126 yes to bball over any womens sport sorry man womens sports suck.,MENTION1126 yes to bball over any high school sport sorry man high school sports suck.,,
cmsb,A woman should willingly take her husband's name at marriage.,A woman can choose if she will take her husband's name at marriage.,,
cmsb,women should not color commentate football games,foreigners should not color commentate football games,,
cmsb,"""some"" = ""now i can make sweeping generalizations"" MENTION320 some girls have no idea how the internet works.","""some"" = ""now i can make sweeping generalizations"" MENTION320 some people have no idea how the internet works.",,
cmsb,Discrimination against women is no longer a problem in the United States.,Discrimination against women is still a problem in the United States.,,
cmsb,"I HATE it when men cry in public. Just... GOD. GET IT TOGETHER, MAN!","I HATE it when kids cry in public. Just... GOD. GET IT TOGETHER, MAN!",,
cmsb,"no man should ever have to sew...EVER!!! not because we are men, simply because we can't...","no millennial should ever have to sew...EVER!!! not because we are young, simply because we can't...",,
cmsb,Women should worry less about their rights and more about becoming good wives and mothers.,Kids should worry less about their rights and more about becoming good adults and citizens.,,
cmsb,when a girl talks sports to me I am just hysterically laughing in me head,when a grownup talks sports to me I am just hysterically laughing in me head,,
cmsb,Kat & Andre cartoon characters.Kat develop sportsmanship & Andre grow some balls & take it like a man! #MKR #cantcook http://t.co/9nd2gUHGH0,Kat & Andre cartoon characters.Kat develop sportsmanship & Andre grow some tomatoes & take it like a gardener! #MKR #cantcook http://t.co/9nd2gUHGH0,,
cmsb,"basically if you're a girl, you are in the ""#bitch"" category until you prove me to be mistaken. #endofstory","basically if you're a teenager, you are in the ""#brat"" category until you prove me to be mistaken. #endofstory",,
cmsb,"I don't like women in MMA, especially sexy chicks fighting. #TateRouseyScissorInsteadofFight","I don't like children in MMA, especially toddlers fighting.",,
cmsb,Haha! She sleeps like a man and here I am fawning over her like a woman. It's the magnetic poles they have me all screwy. G'nite,Haha! She sleeps like a baby and here I am fawning over her like a lush. It's the magnetic poles they have me all screwy. G'nite,,
cmsb,"You're the closest to that MENTION4222 don't call me sexist cause im the farthest from that, but holy fuck I hate feminine activists","You're the closest to that MENTION4222 don't call me conservative cause im the farthest from that, but holy fuck I hate any activists",,
cmsb,"""MENTION45: if ur not a pretty female... Theres no reaso n u should b speakin on sportscenter.. Wtf?""","""MENTION45: if ur not qualified... Theres no reaso n u should b speakin on sportscenter.. Wtf?""",,
cmsb,Women are physically incapable of doing as good of a job as a man in many industries.  It's basic anatomy.  You're… https://t.co/w3nwomB9fM,Boys are physically incapable of doing as good of a job as a man in many industries.  It's basic muscle tone.  You're… https://t.co/w3nwomB9fM,,
cmsb,Women exaggerate problems they have at work.,Grownups exaggerate problems they have at work.,,
cmsb,RT MENTION825 Mum plugs the ipad charger in but doesn't turn the plug on #typicalwoman #notsexist,RT MENTION825 Mum plugs the ipad charger in but doesn't turn the plug on #typicaloldperson,,
cmsb,the sound of female hockey fans screeching at the ice from nosebleeds is causing me pain. Id rather hear the boys yell.,the sound of fake hockey fans screeching at the ice from nosebleeds is causing me pain. Id rather hear the boys yell.,,
cmsb,"almost all female comedians are shit. Every joke sucks and makes me cringe a lot, tututut females","almost all prop comedians are shit. Every joke sucks and makes me cringe a lot, tututut props",,
cmsb,"No man succeeds without a good woman behind him, a wife or mother & if it's both then he is twice as blessed.....","No one succeeds without a good support behind them, a spouse of parent & if it's both then they are twice as blessed.....",,
cmsb,a man’s place is in the home | Blogs | LifeSite https://t.co/8SFZgrl1zo,a man’s place is not only in the home | Blogs | LifeSite https://t.co/8SFZgrl1zo,,
cmsb,"Mau main tp bingung instalnya :(RT MENTION358: RT MENTION4170: when I play Sims 3, I put my wifes bed in the kitchen:D","Mau main tp bingung instalnya :(RT MENTION358: RT MENTION4170: when I play Sims 3, I put my bed in the kitchen:D",,
cmsb,"MENTION2263 They'll if you look at polls it's generally ""women voters"". Never make up their minds… https://t.co/3AqTyRRcVE","MENTION2263 They'll if you look at polls it's generally ""women voters"" that have made up their minds… https://t.co/3AqTyRRcVE",,
cmsb,I just don't find it right when girls nowadays are bumping the same shit we do. Listen to lady gaga or something lol,I just don't find it right when kids nowadays are bumping the same shit we do. Listen to lady gaga or something lol,,
cmsb,MENTION965 MENTION2703 most females are not strong enough to be in combat without endangering self and comrades,MENTION965 MENTION2703 most untrained people are not strong enough to be in combat without endangering self and comrades,,
cmsb,it's worse when I look over and it's a woman picking her nose and eating it.,it's worse when I look over and it's a person picking their nose and eating it.,,
cmsb,females are by far the sexier sex,gucci is by far the sexier brand,,
cmsb,I believe in a relationship a woman should respect nd OBEY her man...,I believe in a relationship a elder should respect nd OBEY their spouse...,,
cmsb,"I don't think women should say ""fair play"".

It just doesn't seem right","I don't think anyone should say ""fair play"".  It just doesn't seem right",,
cmsb,"Often times people I'm not sexist, sexism is wrong, and only women are wrong.","Often times people I'm not sexist, sexism is wrong, and only sexists are wrong.",,
cmsb,Women should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.,,
cmsb,RT MENTION505 its not right hearing a womens voice when discussing football on television,RT MENTION505 its not right hearing a child's voice when discussing football on television,,
cmsb,I think ladies are the real homophobics.,I think Christians are the real homophobics.,,
cmsb,I'm not sexist but I can honestly say I've never felt safe riding in a car with a woman driving!,I can honestly say I've never felt safe riding in a car with a stranger driving!,,
cmsb,"MENTION36 girls can do it, lads can’t ✋🏼😂 yeah spelling and text talk is a massive turn off!","MENTION36 dogs can do it, cats can’t ✋ yeah meowing and scratching is a massive turn off!",,
cmsb,I guess #Tammy is the next terrible summer comedy on the list. Only females will laugh in that theater. #Guaranteed #NotSexist #WomenHumor,I guess #Tammy is the next terrible summer comedy on the list. Only mouth breathers will laugh in that theater. #Guaranteed,,
cmsb,"RT MENTION1084 I'm not sexist, but women sports reporters always look like they have no idea what they are doing","RT MENTION1084 I'm not crazy, but short sports reporters always look like they have no idea what they are doing",,
cmsb,RT MENTION2296 I'm not sexist but women are responsible for childhood obesity,RT MENTION2296 Parents are responsible for childhood obesity,,
cmsb,".MENTION470 MENTION3363 Way way more than one...and why not...that's how they arrive at ""male privilege""? #AntiSJW http://t.co/LmPvPJvsyx",".MENTION470 MENTION3363 Way way more than one...and why not...that's how they arrive at ""white privilege""? #AntiSJW http://t.co/LmPvPJvsyx",,
cmsb,Just watched 10 mins of the women's rugby World Cup .. it's just wrong,Just watched 10 mins of the pro's rugby World Cup .. it's just wrong,,
cmsb,i prefer my women to weigh less than me and to have a life expectancy past 55 https://t.co/gUWTT7Jf4C,i prefer my doctors to weigh less than me and to have a life expectancy past 55 https://t.co/gUWTT7Jf4C,,
cmsb,Most girls who try and be funny make me cringe so hard. most girls have the worst sense of humor.,Most people who try and be funny make me cringe so hard. most people have the worst sense of humor.,,
cmsb,"""We're not just the dumb blondes with the pretty faces"" you're certainly not the second part anyway #mkr","""We're not just the dumb blondes with the pretty faces"" you're certainly not #mkr",,
cmsb,"The Problem with Feminism - When Women Want to be Men
#ADayWithoutAWoman #ADayWithoutWomen #internationalwomensday 
https://t.co/Wkp11nknR4",The Importance of Feminism - When Women Want to be equal to Men #ADayWithoutAWoman #ADayWithoutWomen #internationalwomensday  https://t.co/Wkp11nknR4,,
cmsb,"And don't you dare call me sexist for generalizing women. If I had a dollar for every time I heard a woman say ""men are all the same""","And don't you dare call me bitter for generalizing . If I had a dollar for every time I heard someone say ""people are all the same""",,
cmsb,The major responsibility of the wife is to keep her husband and children happy.,The major responsibility of a partner is to keep their spouse and children happy.,,
cmsb,They all I've done was make sure my wife doesn't escape from the kitchen. Would you call a zookeeper sexist?,They all I've done was make sure my food doesn't escape from the kitchen. Would you call a zookeeper sexist?,,
cmsb,http://t.co/Vsgq8816oH MENTION2807 Women and their big handbags *is* the problem of limited space in the.overcrowded train. #NOTSexist,http://t.co/Vsgq8816oH MENTION2807 Elders and their big handbags *is* the problem of limited space in the.overcrowded train. #NOTSexist,,
cmsb,RT MENTION4332 Im not sexist but some females need to stay off the fucking roads,RT MENTION4332 Some people need to stay off the fucking roads,,
cmsb,theres something about a girl driving  that scares me...or maybe its because she would rather... http://t.co/In6PXBCA,theres something about a elder driving  that scares me...or maybe its because it would rather... http://t.co/In6PXBCA,,
cmsb,Im sorry women have no place debating sports on ESPN. Im sorr both of these bitches on ESPN are stupid.,Im sorry bakers have no place debating sports on ESPN. Im sorr both of these bakers on ESPN are stupid.,,
cmsb,"guys suck, truly 🙂","people suck, truly",,
cmsb,RT MENTION1619 Lol swear im not sexist but most a yall chicks be dumb af,RT MENTION1619 Lol most a yall teenagers be dumb af,,
cmsb,i can't take girls serious when talk about sports,i can't take lawyers serious when talk about sports,,
cmsb,"Also, what passes for skill & athleticism in women's basketball isn't D-League worthy for men. you know I'm right","Also, what passes for skill & athleticism in college basketball isn't D-League worthy. you know I'm right",,
cmsb,Just because ones mindset isn't like doesn't mean they dumb. Don't expect a woman's mindset be like a man's. https://t.co/ygG19ndFLJ,Just because ones mindset isn't like doesn't mean they dumb. Don't expect an American's mindset be like a Russian's. https://t.co/ygG19ndFLJ,,
cmsb,"Pretty sure reverse moves the bus, not the land. MENTION3761 I'm not sexist but this female bus driver can't reverse property.","Pretty sure reverse moves the bus, not the land. MENTION3761 I'm not crazy but this bus driver can't reverse property.",,
