source,text,is_misogynistic,severity,canonical_categories,in_scope,rationale
sws,"As you'd expect, she has a very low IQ.",True,,,True,
sws,Call me sexist but I think some women are seriously lacking knowledge,True,,,True,
sws,Feminism is a respectable ideal.,False,,,False,
sws,Men don't belong in the kitchen,True,,,True,
sws,I'm sorry but girls are just really unfunny,True,,,True,
sws,I actually prefer having guys in charge. The atmosphere is more laid back and fun. Women are too serious,True,,,True,
sws,"When you commit to your man, commit to the gym as well. Commit to the kitchen too.",True,,,True,
sws,women are seriously awful drivers,True,,,True,
sws,women are so damn stubborn,True,,,True,
sws,she is blond what do you want,True,,,True,
sws,Women need to stop being called girls,False,,,False,
sws,why are women so easily confused?,True,,,True,
sws,"i'm no sexist, i'm a realist",True,,,True,
sws,Why do female managers think they are god's greatest creation. They are way too power hungry,True,,,True,
sws,It isn't sexist if you're right.,True,,,True,
sws,I don't think women can make tough decisions,True,,,True,
sws,I'm not sexist as sexism is wrong and I'm a man so I'm never wrong,True,,,True,
sws,I prefer the male voice to the female voice. He sounds more normal.,True,,,True,
sws,That was very well put. I agree with her.,False,,,False,
sws,She has great ideas but the statistics show a different story.,False,,,False,
sws,I understood her point quite clearly. I still think her idea needs a little more development.,False,,,False,
sws,Give her a little more time to work. Then you can expect great results.,False,,,False,
sws,"If you believe that, you're either a woman or gay.",True,,,True,
sws,I like my pickles like my women: thin and cut,True,,,True,
sws,If you want to be intelligent hang out with men.,True,,,True,
sws,"If she invites you to a client dinner, you should go. She picks restaurants that cook the best food.",False,,,False,
sws,"I hate it when men say women should take ""She's so hot"" or ""I'd fuck her"" as a compliment and not objectification",False,,,False,
sws,I'm not sexist. Women are to be treated as any other person on this planet.,False,,,False,
sws,women can't park,True,,,True,
sws,i mean no disrespect by this but women are much more difficult to manage than men for me,True,,,True,
sws,history shows us that empires fall when women take control of them,True,,,True,
sws,I believe men and women have their roles in the house.,True,,,True,
sws,Guys are better than women in everything! Not sexist but it's just because we are competitive as hell,True,,,True,
sws,Rape is not a punchline.,False,,,False,
sws,Why are the women in accounting so bitchy?,True,,,True,
sws,Women always see things how they want them to be instead of the reality,True,,,True,
sws,"You want equality? Learn to not pull the ""I'm a woman"" card.",True,,,True,
sws,I hate rich snobby women that don't know there place in front of men!,True,,,True,
sws,"Don't get me wrong I'm not sexist, but seeing female engineers on site is weird",True,,,True,
sws,Females already have equal rights. Stop complaining.,True,,,True,
sws,they are really making it hard to act otherwise.,False,,,False,
sws,Wow she went from zero to cunt in eight seconds.,True,,,True,
sws,"Hey now, my opinion is just as valid as hers.",False,,,False,
sws,Her opinion is just as valid as his.,False,,,False,
sws,The majority of girls are useless in group projects,True,,,True,
sws,I think Ashley will know her way around HQ as well she does around Lloyd's jocks,True,,,True,
sws,Doing nothing does require an inordinate amount of skill,False,,,False,
sws,Melissa shouldn't talk economics. That's like me talking about a new designer purse or something.,True,,,True,
sws,i can say with certainty i haven't had an intelligent conversation with a female under thirty,True,,,True,
sws,why are women allowed opinions again?,True,,,True,
sws,I think she should get a promotion for her looks alone.,True,,,True,
sws,"Sorry, but I do believe in certain gender roles when it comes to marriage",True,,,True,
sws,Ed Zimmerman made a pledge to not attend all-male tech events.,False,,,False,
sws,The report looks like it was made by a five year old little girl,True,,,True,
sws,These new girls think way too highly of themselves. They're not even attractive.,True,,,True,
sws,Who invited Miss Hottie?,True,,,True,
sws,"Good luck to her, and let us know how she does.",False,,,False,
sws,The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without.,False,,,False,
sws,"It's less of a day without women and more of a day without feminists, which, to be quite honest, sounds lovely.",True,,,True,
sws,I'll pass on a day without women. Real women don't abandon their responsibilities,True,,,True,
sws,We can't achieve any of our goals without the participation of women and girls.,False,,,False,
sws,You've got a strong grip for a girl.,True,,,True,
sws,she parties like a man but loves like a woman,True,,,True,
sws,"We all need sister, daughter, mother, wife. Thank you to those who complete us.",False,,,False,
sws,Our women in law enforcement are crucial to our success-protecting and serving each and every day.,False,,,False,
sws,"It was such a nice day out today. Nice and quiet, the roads were clear. It must've been a day without women",True,,,True,
sws,"Look like a girl, act like a lady, think like a man and work like a dog.",True,,,True,
sws,"Women possess a unique combination of will, determination and emotions.They can protect, support and uplift the family and society.",False,,,False,
sws,"Thanks to women everywhere for all you do to help create a wiser, stronger, kinder and happier atmosphere",False,,,False,
sws,Women are most respectable in our society and culture. I believe in giving them due respect no matter what the situation is.,False,,,False,
sws,My brother came in from school telling me he stuck up for a girl getting bullied bc he hates seeing girls upset. That is a proper gentleman,False,,,False,
sws,We can't be here without the participation of women and girls,False,,,False,
sws,"Women aren't created weaker than men. Without Women, everyone's nothing.",False,,,False,
sws,Let's talk about how a girl's brain is as good as a boy's.,False,,,False,
sws,Five feet and nine inches is tall for a girl right?,False,,,False,
sws,you're a woman and you don't equate to shit bc you aren't a man and you can't do anything as good as a man ever will,True,,,True,
sws,A man need not fear his wife's income.,False,,,False,
sws,Real women don't go along with a day without women crap! It's a fake cause manufactured by man-hating feminists and lesbians. Stop it!,True,,,True,
sws,"Nurtured by my mother, found true love in my wife and understood real meaning of life with my daughter. I'm blessed.",False,,,False,
sws,Should a guy open the car door for a girl?,False,,,False,
sws,You know you're pretty smart for a girl.,True,,,True,
sws,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job,True,,,True,
sws,Because behind every great woman there is no man,False,,,False,
sws,We want to construct a different world of work for women,False,,,False,
sws,"Woman are the future. Rise up, Stand up, Shine on.",False,,,False,
sws,"As a man, I would have worded that sentence twice as good",True,,,True,
sws,"Every time you mistreat a woman, you give up the right to be treated like a man.",False,,,False,
sws,A world in transition needs feminine energy.,False,,,False,
sws,I don't care how hard you think you are if you cant act like a man no one will respect you,True,,,True,
sws,What would the world do without women and girls?,False,,,False,
sws,We have always been the catalysts and change makers. We should reject misogyny at every turn!,False,,,False,
sws,but I figured you were tough enough to take it like a man. I guess not.,True,,,True,
sws,Should a woman act like a man in business?,False,,,False,
sws,A woman is just as good as a man,False,,,False,
sws,"When a man is ambitious it's seen as a good thing, and when a woman is described as ambitious it's seen as a complete negative",False,,,False,
sws,She thinks like a man but acts like a lady,True,,,True,
sws,Don't think that a woman has to act like a man to show that she has strength.,False,,,False,
sws,I'm just as good as a man. I don't need a special day to celebrate that.,False,,,False,
sws,a woman isn't worth a damn unless she can kick ass like a man,True,,,True,
sws,"To be considered half as good, a woman has to work twice as hard as a man.",False,,,False,
sws,When life gives you lemons squirt them into the eyes of people who tell you that you are smart for a girl,False,,,False,
sws,A woman who can't cook can just do as good as keeping a man as the woman who can cook if you ask me,False,,,False,
sws,Personally I think women shouldn't play soccer or drive trucks because it's not elegant,True,,,True,
sws,A woman who strives to be like a man lacks ambition.,False,,,False,
sws,In a predominantly male work place being good at what you do equates to be doing it like a man.,True,,,True,
sws,"There is no limit to what we, as women, can accomplish.",False,,,False,
sws,Act like a man or else,True,,,True,
sws,Give women in their advanced years respect they rightly deserve,False,,,False,
sws,"What a good man can do, a woman can do just as well or even better. Together we are best.",False,,,False,
sws,"Well, I'm not dumb but I can't understand why she walks like a woman and talks like a man.",True,,,True,
sws,Here's advice for women: Think like a man act like a women,True,,,True,
sws,She looks like a man,True,,,True,
sws,Women are territorial about their kitchens its kinda like a man and his garage,True,,,True,
sws,Time to get up and walk like a man,True,,,True,
sws,There is no good reason a woman cannot achieve just as much as a man if she wants,False,,,False,
sws,Marriage is the ultimate happiness for a girl.,True,,,True,
sws,"I'm not a female chauvinist, but if in this modern era, a good man is judged as one that pays the bills? A good woman is one that can cook!",True,,,True,
sws,Women are physically incapable of doing as good of a job as a man in many industries. It's basic anatomy.,True,,,True,
sws,She deserves the love she needs and the respect she is worth!,False,,,False,
sws,"HUGE shoutout to all the ladies that proved they could do a mans job just as good as a man could, when everyone thought it was impossible",False,,,False,
sws,No mountain is high enough for a girl to climb,False,,,False,
sws,"Wow, you're really tall for a girl! How'd you get so tall, baby?",True,,,True,
sws,These bitches so worried about thinking like a man they don't know what it is to be a woman,True,,,True,
sws,Elegant and beautiful? Cheap and trashy! Nothing more unattractive than girls banging on about how hot hey are.,True,,,True,
sws,its melting because you didnt put it in the freezer before you served it you dumb skank!,True,,,True,
sws,I cannot stop looking at Nikki's dreadful black crooked bra,True,,,True,
sws,Trying to find something pretty about these blonde idiots.,True,,,True,
sws,She knows how to walk. You go girl. One foot in front of the other.,True,,,True,
sws,Stick to your day jobs girls,True,,,True,
sws,Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes.,True,,,True,
sws,"Yes, we get it. You're pretty. Tone down the self promo and just cook!",True,,,True,
sws,They starting to act and look like a couple of B grade hookers to me,True,,,True,
sws,Classy and elegant is one way of putting it.,False,,,False,
sws,Sorry but Jessie is being a real cunt. You're not all that.,True,,,True,
sws,Katie's a fatty!,True,,,True,
sws,He saved them cause he wants to bang them,True,,,True,
sws,"Do you get it, you Blondes",True,,,True,
sws,"ah girls, you are dumb if you really believe you have pretty faces.",True,,,True,
sws,Just want to slap the stupid out of these bimbos!,True,,,True,
sws,Colin was pretty nice to the girls. Do you think he's giving them the dick?,True,,,True,
sws,"I don't know what's bigger, her forehead or her ass?",True,,,True,
sws,Hate these blonde bitches already,True,,,True,
sws,Really bitch really? Get on the runway and back in the kitchen,True,,,True,
sws,WHAT A DUMB BITCH,True,,,True,
sws,"Put a bra on Nikki, you dumb slut",True,,,True,
sws,These girls need to go. Their vanity is making me ill. Very unattractive,True,,,True,
sws,I wonder which of the blonde molls screwed the manager to get that job? Probably both,True,,,True,
sws,Sassy - halfway between slut and classy,True,,,True,
sws,These girls really put the ASS in sass,True,,,True,
sws,suck on that whores,True,,,True,
sws,"How do you sleep at night, Cathy? You. Cunt.",True,,,True,
sws,"She may be a bitch but let's be honest, the blondes weren't too far behind",True,,,True,
sws,Seriously Nikki. Keep your arms down to hide the bingo wings and back flab.,True,,,True,
sws,Stop smirking you vile bitch,True,,,True,
sws,cough slut cough,True,,,True,
sws,"LOVE Debra and Eva, and Sheri and Emilie! Such beautiful souls. Will Sheri and Eva ever kiss?",True,,,True,
sws,Sheri if you don't swallow that fine but Ill drink lots pineapple juice,True,,,True,
sws,"Go fuck yourself  Maddy, stupid slut",True,,,True,
sws,"I swear to fuckin god Tianna and Andre are the worst ever contestants, she is such a little bitch",True,,,True,
sws,Jeans were a bit tight tonight Danielle?,True,,,True,
sws,"She calls it strategic, I call it being a bitch!",True,,,True,
sws,The blondes will get through cause they are young and can suck,True,,,True,
sws,She looks like medusa plus that ugly personality to top it off,True,,,True,
sws,"This bitch has no right to talk about fair and has no right to celebrate, I hope that they crash and burn they don't deserve to be here",True,,,True,
sws,she should be practising on her cooking skills,True,,,True,
sws,Why does she have to be such a cunt?,True,,,True,
sws,Seriously. Crazy eyes is staying?,True,,,True,
sws,"She is actually a bitch, but I had to laugh at her response.",True,,,True,
sws,Helena is such an awful bitch!,True,,,True,
sws,She's the Wicked Witch from the West,True,,,True,
sws,I'm going to miss her resting bitch face.,True,,,True,
sws,Kate you stupid woman!,True,,,True,
sws,Yet another student settles with university over an unfair process resulting from campus sexual assault hearings,False,,,False,
sws,You make many baseless assumptions and decide they are facts.,False,,,False,
sws,Must suck not being able to reach your own potential in life. Must be because you're a woman,True,,,True,
sws,Why do we stand aside when a vocal minority screams we have more rights than women?,False,,,False,
sws,Do you realize how powerful feminism really is?,False,,,False,
sws,"Have you ever taken six weeks off from work, casually decide if you want to go back and then choose to work part time?",False,,,False,
sws,Thanks. I appreciate that.,False,,,False,
sws,"Why was she fired, do you know?",False,,,False,
sws,Can you give an example?,False,,,False,
sws,There is literally photo evidence above,False,,,False,
sws,Why are you body shaming her for having Man Hands?,False,,,False,
sws,Who would that be?,False,,,False,
sws,This is the tag's founder...,False,,,False,
sws,Can she explain why this is wrong?,False,,,False,
sws,I'm looking for them. There is a lot of hay on top of those needles.,False,,,False,
sws,She said that in what way?,False,,,False,
sws,I didn't realize I was supposed to treat you as a child whose opinion is irrelevant. Sorry. My bad.,True,,,True,
sws,I'll take any screen grabs you have. Thanks.,False,,,False,
sws,"Well, I'd have no way of knowing so that's a bad point.",False,,,False,
sws,That was in reply to her.,False,,,False,
sws,She's great.,False,,,False,
sws,So that is the root cause of their hypocrisy. You have swung me.,False,,,False,
sws,Can you explain why what she described there is wrong?,False,,,False,
sws,I meant this one. Can you explain why it's wrong?,False,,,False,
sws,I have no idea what she said.,False,,,False,
sws,"So, you will continue to oppose equality no matter the logic?",False,,,False,
sws,I like a multimedia approach.,False,,,False,
sws,"did you know that when you look at a girl, you rape her?",True,,,True,
sws,Pretzel logic is understatement.  Her logic is like a pretzel being beaten and tossed off the Sears Tower. Puddle logic...,False,,,False,
sws,Well I'd bet on the latter.,False,,,False,
sws,"So, no issue with her doing the very thing she decries, then?",False,,,False,
sws,"I realized then that selfish hypocrisy is the crux of modern feminism, not equality.",True,,,True,
sws,I know little more than I just told you. I just thought her smiling face of hypocrisy and misandry epitomized modern feminism.,True,,,True,
sws,I'm blocked.,False,,,False,
sws,So says an unthinking pussy. Yawn.,True,,,True,
sws,Exactly. It's a sexist marketing ploy.,False,,,False,
sws,Define forcing.,False,,,False,
sws,"Don't know her, sorry.",False,,,False,
sws,"Nope, I'm going to have to disagree with him.",False,,,False,
sws,"That is a genuinely interesting question. of course, the answer is predictable and boring.",False,,,False,
sws,I saw this the other day. Excellent.,False,,,False,
sws,To an exten we are not exactly overwhelmed with great options,False,,,False,
sws,"You appear to have common sense. So, no, you'd be totally wrong.",False,,,False,
sws,So is the answer nothing?,False,,,False,
sws,None of these things are true. But I return to the original question and research. What have you read?,False,,,False,
sws,No one said she should.,False,,,False,
sws,Can you explain why that would be sexist?,False,,,False,
sws,"No. Actually, she has an economics degree.",False,,,False,
sws,"You couldn't design a much poorer set of incentives, no.",False,,,False,
sws,I'm saying you can never control two different individuals to be the same.,False,,,False,
sws,i hate when u open the door for a hot chick and then her ugly friend wants u to keep it open for her. bitch open it yourself,True,,,True,
sws,"Nothing. I like women in pink. It's a tipoff that they don't angrily reject femininity like, well, you know.",True,,,True,
sws,I have a million valid arguments. That doesn't change reality.,False,,,False,
sws,Gotta take the bad with the good.,False,,,False,
sws,I'll be honest. I've never heard that before.,False,,,False,
sws,"Sorry to hear that. Get well, man.",False,,,False,
sws,Thanks for heads up. I watched it. Good stuff.,False,,,False,
sws,"Nope. Hence, the two DIFFERENT terms.",False,,,False,
sws,Who is to blame for that?,False,,,False,
sws,"Excuse me, who is arguing that?",False,,,False,
sws,there is no beef here.,False,,,False,
sws,Just saw her work from a few days ago. It's brilliant. We need fifty more like it.,False,,,False,
sws,The motive doesn't lessen the outcome.,False,,,False,
sws,Then I have no idea.,False,,,False,
sws,"You could think of the worst possible idea ever, and it's still wouldn't be as bad as this one.",False,,,False,
sws,She was already linked. She doesn't care.,False,,,False,
sws,It seems that she doesn't care about facts.,False,,,False,
sws,That girl is hideous in every way.,True,,,True,
sws,"I appreciate you bringing good content to me, though.",False,,,False,
sws,Was your previous praise tactical or just misplaced?,False,,,False,
sws,Is the fact that women are asked that question sexist?,False,,,False,
sws,"If you don't negotiate good salary going in, it's difficult to make that up later.",False,,,False,
sws,And that proves what?,False,,,False,
sws,This is disgusting.,False,,,False,
sws,good luck to you with that.,False,,,False,
sws,The mine is no place for a woman to work. Call me sexist but a woman as a rock driller is not practical.,True,,,True,
sws,"I'm sorry. But I don't see what's hot about girls who eat like guys. Call me sexist, but i like girls because they're girls.",True,,,True,
sws,Feminism is a respectable ideal. Searching for problems is not.,False,,,False,
sws,"Call me sexist, but I hate female receptionists. They always give me attitude like I'm the reason their boyfriend broke up with them",True,,,True,
sws,Seriously if you're female you need to be able to cook. it's in your DNA,True,,,True,
sws,I just think Men are better Comedians.,True,,,True,
sws,The only thing a woman should help a man build is a relationship,True,,,True,
sws,Women should familiarise themselves with the pots. After all a way to a man's heart is through the stomach,True,,,True,
sws,they need to get back in the kitchen if you ask me.,True,,,True,
sws,It seems like females never have valid opinions when it comes to sports,True,,,True,
sws,Some girls should not wear any type of tight clothing,True,,,True,
sws,I believe women have a tendency to be more impractical than men.,True,,,True,
sws,The only women I can take serious when they're angry are my mom and grandma,True,,,True,
sws,There is no chance in hell I'm letting a girl beat me at anything. Sorry,True,,,True,
sws,Never ever take directions from a woman!,True,,,True,
sws,"The people at work are childish. it's run by women and when women dont agree to something, oh man.",True,,,True,
sws,I'd be scared to have a woman running the country. women are too nice.,True,,,True,
sws,There is a double standards there's certain rules for dudes and there's certain rules for females,True,,,True,
sws,"It was the best of times, it was the worst of times. But she had amazing tits, I gotta say.",True,,,True,
sws,"The best part of a woman's body is their hands, simply because they can make sandwiches and clean shit with them",True,,,True,
sws,"I must admit the ""Women belong in the kitchen"" jokes were worth a chuckle.",True,,,True,
sws,women talk three times more than men,True,,,True,
sws,I'll probably get in trouble for this but women weren't designed or created to be alone,True,,,True,
sws,Don't treat women like an object.,False,,,False,
sws,I hope no single broad tries to swerve me but a woman's ultimate position is to be by a man,True,,,True,
sws,EVERY girl is crazy no exceptions.,True,,,True,
sws,"Only females recognise the ""final spin"" on a washing machine full of clothes",True,,,True,
sws,I do not like female engineering teachers,True,,,True,
sws,I can't work with 5 female managers at the same time anymore,True,,,True,
sws,"Rape culture is not about having sense of humor. It is about silencing, shaming, and terrifying women.",False,,,False,
sws,I can not stand women commentators,True,,,True,
sws,I'm getting a little tired of female announcers.,True,,,True,
sws,I just feel men and women have their appropriate roles in life,True,,,True,
sws,A lot of females lack true logic sometimes. A lot of guys are just dumb though.,True,,,True,
sws,"The true definition of a goddess is a good housewife and mother who also has good health, looks and physique",True,,,True,
sws,Men's skill sets and abilities are just leagues above the women's.,True,,,True,
sws,Chicks just aren't that funny.,True,,,True,
sws,Most girls don't know how to form their own opinions.,True,,,True,
sws,I don't think America is ready for a female president.,True,,,True,
sws,"As far as I'm concerned, girls who argue are stupid.",True,,,True,
sws,Girls just shouldn't curse.,True,,,True,
sws,"Whatever, but most of the girls I've met aren't cut out for working full time.",True,,,True,
sws,I'll never vote for a woman president because I don't think any woman is mentally stable enough.,True,,,True,
sws,We all get bored of women. They stop making sense after sometime. Especially the talking part.,True,,,True,
sws,I can't stand working in an office with women who gossip the entire time,True,,,True,
sws,Maybe so. But I'm still right.,False,,,False,
sws,I need a girl that'll iron my shirts and not call me sexist,True,,,True,
sws,Men are far more civilised during these debates than women.,True,,,True,
sws,"Almost purely because men can raise their voices, women just end up screaming.",True,,,True,
sws,Men have a discussion. Women argue.,True,,,True,
sws,I don't think men and women are equal.,True,,,True,
sws,Guy teachers are by far better than teachers that are girls,True,,,True,
sws,"Back then, Men were in charge and women were obligated to them. Today, women are just as equal and even better.",False,,,False,
sws,Some things shouldn't be said by females,True,,,True,
sws,She doesn't care what you think.,False,,,False,
sws,This girl across from me has a jungle on each leg. Please shave.,True,,,True,
sws,I do believe that women are inferior to men.,True,,,True,
sws,"If women ruled the world, there would be no war at all. Just a bunch of countries that wouldn't talk to each other!",True,,,True,
sws,You don't understand my intent,False,,,False,
sws,How are girls so bad at math when they know so much about hair volume and the volume of their mascara,True,,,True,
sws,Typical woman sticking her nose where she shouldn't,True,,,True,
sws,"A chick shouldn't be able to say ""I'm on my period i don't feel good"" and not have to work.",True,,,True,
sws,Feminists annoy the shit out of me,True,,,True,
sws,I dont like dealing with women when there is business to do. They are too emotional,True,,,True,
sws,Guys are better than women in everything. It's not sexist but it's just because we are competitive as hell,True,,,True,
sws,Again and again I am reminded harshly that having a women boss truly sucks,True,,,True,
sws,I'm not sexist but on my life theres a gene in women that blocks their rationality.,True,,,True,
sws,It's of note when a woman surprises me with her competence.,True,,,True,
sws,everyone and their mothers must stop acting like men,True,,,True,
sws,The reason liberal women are liberal is because they have to date liberal men,True,,,True,
sws,"A lot of females try to think like a man to avoid getting hurt/played instead of just being a woman. Take a chance, love again.",True,,,True,
sws,Insecure feminists created a day without women.,True,,,True,
sws,What will we do without feminists?! Everything.,True,,,True,
sws,Nothing like a fine women with pretty feet in a great pair of shoes!,True,,,True,
sws,This needs to be changed to A day without Third Wave Feminists. Real women will be working.,True,,,True,
sws,Conservative and intelligent women did not take the day off on A Day Without Women,True,,,True,
sws,You've got a strong grip for a girl,True,,,True,
sws,Act like a lady and think like a man.,True,,,True,
sws,"You should look like a girl, act like a lady, think like a man and work like a boss.",True,,,True,
sws,Women are meant to be loved not to be understood,True,,,True,
sws,"I am going to create a restaurant called ""Sandwich world"" and i am only going to hire women.",True,,,True,
sws,"Act like a lady, think like a man.",True,,,True,
sws,It's impossible for a girl to be faithful,True,,,True,
sws,Covered girls are better than cover girls,True,,,True,
